pickup_year,pickup_month,pickup_day,pickup_time,trip_distance,pickup_location,dropoff_location,fare_amount,extra,mta_tax,tolls_amount,improvement_surcharge,tip_amount,total_amount,payment_type
2016,2,1,0,4.5,40.76493073,1,40.76890945,2,16,0.5,0,0.5,0,-73.91111755
2016,11,1,0,2.72,43,238,12.5,0.5,0.5,0,0.3,2.76,16.56,1
2016,2,19,0,1.1,40.73948288,1,40.74976349,2,8.5,0.5,0,0.5,0,-73.98776245
2016,9,4,0,4.71,112,102,16,0.5,0.5,0,0.3,0,17.3,2
2016,2,19,0,6.52,40.7817688,1,40.82411957,2,21,0.5,0,0.5,0,-73.85936737
2016,11,15,0,2.1,158,13,8.5,0.5,0.5,0,0.3,1.96,11.76,1
2016,7,10,0,0.84,163,237,5.5,0,0.5,0,0.3,0,6.3,2
2016,9,4,0,3.7,246,166,12,0.5,0.5,0,0.3,1.5,14.8,1
2016,9,4,0,1.91,224,186,9.5,0.5,0.5,0,0.3,1,11.8,1
2016,9,4,0,1.9,246,230,8.5,0.5,0.5,0,0.3,0,9.8,2
2016,7,10,0,0.61,113,211,4.5,0,0.5,0,0.3,0,5.3,2
2016,7,10,0,1.23,236,239,6.5,0,0.5,0,0.3,0,7.3,1
2016,9,4,0,0.78,263,141,4.5,0.5,0.5,0,0.3,1.16,6.96,1
2016,1,29,0,1.5,40.782444,1,40.76136017,1,10.5,0.5,2.5,0,0,-73.98381042
2016,1,1,0,5.7,40.75056839,1,40.71357346,1,18,0.5,8,0.5,10.5,-74.03556824
2016,9,4,0,1.64,100,162,8.5,0.5,0.5,0,0.3,0,9.8,2
2016,9,4,0,3.68,79,236,13,0.5,0.5,0,0.3,2.86,17.16,1
2016,9,4,0,3.7,90,261,13,0.5,0.5,0,0.3,0,14.3,2
2016,9,4,0,1.5,48,239,7.5,0.5,0.5,0,0.3,1.75,10.55,1
2016,9,4,0,2.71,249,163,11,0.5,0.5,0,0.3,0,12.3,2
2016,9,4,0,2.4,256,4,10.5,0.5,0.5,0,0.3,0,11.8,2
